g.geneSymbol
TBP
PDS5A
PDS5B
SEL1L
CAD
RMI1
FASN
NR2F6
MAT2B
DNAJC10
LRRC41
NUP62
BGLAP
VAMP7
TMCO6
TP53I3
AKR7A2
MUTYH
VAMP3
SPSB3
MARS2
MAP7D1
MARS1
WDR47
TAT
FAT1
PHLDA1
PHLDA2
TMCO1
PHLDA3
DNAJC15
TMCO3
WDR46
WDR45
DNAJC13
WDR44
WDR43
DNAJC11
NUP50
KIF5C
PDZD8
CA1
CA2
OPRM1
CA3
CA4
JARID2
CA6
NUP58
CA7
CA9
NUP54
LRRC59
CDC25A
CDC25B
CDC25C
ACHE
PELI2
PCYOX1
PTGS2
DDB2
PTGS1
WDR55
PRR15L
KCTD9
TRIAP1
KIF4A
PXDN
LRRC20
ETHE1
GMPPB
NUP85
PSMA3
GMPPA
PSMA1
CADM1
NUP88
SMAD3
WDHD1
PGAM1
C1GALT1C1
NCAPG
CACNB3
CACNB4
CACNB1
CACNB2
KCTD5
PTGR2
DDA1
NCAPH
ATIC
GMIP
DDB1
SCN9A
ISG20
SRPRB
CLSTN1
SRPRA
KNTC1
KIF3C
HEBP1
FRYL
IST1
MRTFB
FABP3
SLC19A3
EGFR
PSMC6
KIF2A
FABP7
FABP5
SLC19A1
SLC19A2
ASF1B
SPP1
NYNRIN
KIF2C
MFN2
CRAT
NIP7
ODC1
NFATC4
TSR3
NFATC3
SRSF10
PSMB9
PSMB8
PSMB5
PSMB2
PSMB1
NUP93
CEPT1
TSPO
KIF1B
LPCAT3
CRCP
LPCAT4
KIF22
WDR13
KIF23
WDR12
ACLY
HPS6
PSME3
PSME2
GMNN
PSME1
RRP12
RRP15
CRBN
KIF15
RRP1B
KIF11
KIF14
PSMD9
KIN
NRAS
PSMD3
PSMD2
KIT
PSMD1
CCL22
HEATR1
RNF220
CDK11A
RACGAP1
CIT
ARFGAP3
SCN4A
PTPRN2
ABCE1
SSBP1
SSBP2
ABCC5
PTGFR
ABCC6
TMEM51
ABCC8
ABCC1
ABCC2
ABCC3
ABCC4
CKAP5
CYP2C18
TBCD
ARAP1
CYP2C19
NID2
DLG4
OGFOD1
ABCC9
OGFOD2
CKAP2
PRRC1
FAM86B1
MARK4
TK1
MARK3
TSC22D3
SCN3A
TSC22D2
ABCB6
TIPIN
PTGIR
ABCB1
TMEM80
HPF1
RMC1
RABGGTA
TSPYL2
COX11
COX10
ULBP2
SCN2A
ABCA3
SRPK2
SLC6A3
SLC6A4
ABCA1
SLC6A1
CFI
SLC6A2
ABCA7
SPARC
ABCA8
ZMYM2
RAD51AP1
ZMYM3
ZMYM6
PIMREG
SLC6A7
SLC6A8
SLC6A5
SCN1A
SCN1B
MNS1
SLC6A9
CFB
CHIC2
CYBC1
EHMT2
LCAT
FRS2
SCN8A
CYP27B1
DUS1L
AKT1
DIABLO
TMEM97
CDA
IPO13
TES
TMEM94
PRAF2
POLQ
PON3
ANKRD27
KYNU
STOML2
CYP27A1
SUPT7L
POLE
ATG3
SPRED2
GRIN2A
PGA5
SNAPC5
MTIF2
TSKU
